customer,Arrival t,Service t,service begins,service ends,Idle t,Waiting t in queue,t in system,avg queue,avg idle
716,246.79723596921653,0.10498604769008608,247.1692390951864,247.2742251428765,0.0,0.37200312596988283,0.4769891736599732,0.7000803502383194,0.23815805410379684
717,247.42445783235243,0.9857959821736747,247.42445783235243,248.4102538145261,0.15023268947592783,0.0,0.9857959821736747,0.7000803502383194,0.23815805410379684
718,247.50235759763447,1.3313332880059205,248.4102538145261,249.741587102532,0.0,0.9078962168916291,2.239229504897537,0.7000803502383194,0.23815805410379684
719,247.71647229161326,0.13293983400331355,249.741587102532,249.87452693653532,0.0,2.025114810918751,2.1580546449220606,0.7000803502383194,0.23815805410379684
720,248.70494092962372,0.028951436636046206,249.87452693653532,249.90347837317137,0.0,1.1695860069116009,1.1985374435476501,0.7000803502383194,0.23815805410379684
721,249.68931188607593,0.01614899645191235,249.90347837317137,249.91962736962327,0.0,0.21416648709544006,0.23031548354734355,0.7000803502383194,0.23815805410379684
722,249.92049069615558,0.01043368643750205,249.92049069615558,249.93092438259308,0.0008633265323112482,0.0,0.01043368643750205,0.7000803502383194,0.23815805410379684
723,250.54312543276657,0.288802065026233,250.54312543276657,250.8319274977928,0.6122010501734962,0.0,0.288802065026233,0.7000803502383194,0.23815805410379684
724,250.8015731447733,0.24595488022353854,250.8319274977928,251.07788237801634,0.0,0.030354353019504288,0.27630923324304035,0.7000803502383194,0.23815805410379684
725,250.84959678479845,0.0016880811011012688,251.07788237801634,251.07957045911743,0.0,0.22828559321789044,0.22997367431898397,0.7000803502383194,0.23815805410379684
726,250.92825260413406,0.36053123866575143,251.07957045911743,251.44010169778318,0.0,0.15131785498337536,0.5118490936491185,0.7000803502383194,0.23815805410379684
727,251.57000817418987,0.2163298840467261,251.57000817418987,251.7863380582366,0.1299064764066884,0.0,0.2163298840467261,0.7000803502383194,0.23815805410379684
728,251.6198195101383,0.08061971012593648,251.7863380582366,251.86695776836254,0.0,0.16651854809828137,0.24713825822422564,0.7000803502383194,0.23815805410379684
729,252.69830285349147,0.20777105855689348,252.69830285349147,252.90607391204836,0.8313450851289304,0.0,0.20777105855689348,0.7000803502383194,0.23815805410379684
730,252.79221646011658,0.11405761486835693,252.90607391204836,253.0201315269167,0.0,0.11385745193177854,0.2279150668001364,0.7000803502383194,0.23815805410379684
731,252.95373205753074,0.188789123079656,253.0201315269167,253.20892064999637,0.0,0.06639946938597063,0.25518859246562897,0.7000803502383194,0.23815805410379684
732,253.01603840952401,0.15192999746377617,253.20892064999637,253.36085064746015,0.0,0.19288224047235758,0.34481223793613935,0.7000803502383194,0.23815805410379684
733,253.23315345286824,0.17038443486424684,253.36085064746015,253.5312350823244,0.0,0.1276971945919172,0.29808162945616345,0.7000803502383194,0.23815805410379684
734,253.3215827900604,0.06054386038709338,253.5312350823244,253.5917789427115,0.0,0.2096522922639963,0.27019615265109564,0.7000803502383194,0.23815805410379684
735,253.62553325420424,0.15112344100789588,253.62553325420424,253.77665669521213,0.03375431149274277,0.0,0.15112344100789588,0.7000803502383194,0.23815805410379684
736,253.98013500185687,0.6116404237114833,253.98013500185687,254.59177542556836,0.20347830664474031,0.0,0.6116404237114833,0.7000803502383194,0.23815805410379684
737,254.13874028800686,0.33245061248409186,254.59177542556836,254.92422603805244,0.0,0.4530351375614998,0.7854857500455807,0.7000803502383194,0.23815805410379684
738,255.00386588310317,0.5929317441133273,255.00386588310317,255.5967976272165,0.0796398450507354,0.0,0.5929317441133273,0.7000803502383194,0.23815805410379684
739,255.25741937671944,0.009846825013978404,255.5967976272165,255.60664445223046,0.0,0.33937825049704884,0.3492250755110149,0.7000803502383194,0.23815805410379684
740,255.264214513364,0.18742035007919564,255.60664445223046,255.79406480230966,0.0,0.3424299388664451,0.5298502889456529,0.7000803502383194,0.23815805410379684
